Company Name,Headquarters,Size,Type of ownership,Industry,Sector
Chipton-Ross,"El Segundo, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Integral,"Atlanta, GA",201 to 500 employees,Company - Private,Construction,"Construction, Repair & Maintenance"
Infoblox Inc.,"Santa Clara, CA",1001 to 5000 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
National Instruments Corporation,"Austin, TX",5001 to 10000 employees,Company - Public,Electrical & Electronic Manufacturing,Manufacturing
Pro-Sphere Tek,"Alexandria, VA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Valkyrie Intelligence,"Austin, TX",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Calsoft Labs,"Bengaluru, India",1001 to 5000 employees,Company - Private,IT Services,Information Technology
"Quantilus, Inc","New York, NY",1 to 50 employees,Company - Private,IT Services,Information Technology
Accolite Inc,"Addison, TX",501 to 1000 employees,Company - Private,IT Services,Information Technology
Intelligent Waves LLC,"Reston, VA",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
"Resideo Technologies, Inc.","Austin, TX",10000+ employees,Company - Public,Computer Hardware & Software,Information Technology
Concordia University Texas,"Austin, TX",201 to 500 employees,College / University,Colleges & Universities,Education
Texas Association of Counties,"Austin, TX",51 to 200 employees,Nonprofit Organization,State & Regional Agencies,Government
Dell Technologies,"Round Rock, TX",10000+ employees,Company - Public,IT Services,Information Technology
Ethoca,"Toronto, Canada",51 to 200 employees,Company - Private,Financial Transaction Processing,Finance
Clinical Pathology Laboratories,"Austin, TX",1001 to 5000 employees,Company - Private,Research & Development,Business Services
Praetorian,"Austin, TX",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
"FireEye, Inc.","Milpitas, CA",1001 to 5000 employees,Company - Public,Computer Hardware & Software,Information Technology
CorTech LLC,"Atlanta, GA",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services
"NextXap, Inc.","Alexandria, VA",501 to 1000 employees,Company - Private,Computer Hardware & Software,Information Technology
Civitech,"Austin, TX",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Global Foundries,"Santa Clara, CA",10000+ employees,Company - Private,Electrical & Electronic Manufacturing,Manufacturing
Molecular Templates Inc,"Austin, TX",1 to 50 employees,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
TEXAS DEPARTMENT OF PUBLIC SAFETY,"Austin, TX",1001 to 5000 employees,Government,Municipal Governments,Government
"TalentBurst, Inc.","Natick, MA",501 to 1000 employees,Company - Private,IT Services,Information Technology
Texas Health and Human Services Commission,"Austin, TX",10000+ employees,Government,State & Regional Agencies,Government
Booz Allen Hamilton,"Mc Lean, VA",10000+ employees,Company - Public,Consulting,Business Services
Blue Cross Blue Shield of Florida,"Jacksonville, FL",10000+ employees,Nonprofit Organization,Insurance Carriers,Insurance
CSI Tech Inc.,"Jacksonville, FL",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Energy Authority,"Albany, NY",201 to 500 employees,Government,Energy,"Oil, Gas, Energy & Utilities"
Infomatics Corp,"Dulles, VA",51 to 200 employees,Company - Private,Consulting,Business Services
Florida Blue,"Jacksonville, FL",10000+ employees,Nonprofit Organization,Insurance Carriers,Insurance
SGA Inc.,"Bethesda, MD",1 to 50 employees,Company - Private,Architectural & Engineering Services,Business Services
Alluvion Staffing,"Jacksonville, FL",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
BTG,"Eclepens, Switzerland",1 to 50 employees,Company - Public,Advertising & Marketing,Business Services
SNI Technology,"Des Moines, IA",201 to 500 employees,Company - Public,Staffing & Outsourcing,Business Services
"Capricorn Systems, Inc.","Tucker, GA",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
Crowley Maritime,"Jacksonville, FL",5001 to 10000 employees,Company - Private,Shipping,Transportation & Logistics
TekPartners,"Fort Lauderdale, FL",501 to 1000 employees,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services
"Clearsense, LLC","Jacksonville, FL",1 to 50 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
Software Guidance & Assistance,"Tarrytown, NY",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Lutheran Services Florida,"Tampa, FL",1001 to 5000 employees,Nonprofit Organization,Religious Organizations,Non-Profit
The NDN Companies,"Washington, DC",1 to 50 employees,Nonprofit Organization,Social Assistance,Non-Profit
One Call,"Jacksonville, FL",1001 to 5000 employees,Company - Private,Health Care Services & Hospitals,Health Care
Abacus Service Corporation,"Southfield, MI",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services
Shands Jacksonville,"Jacksonville, FL",1001 to 5000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
American Recruiting & Consulting Group,"Fort Lauderdale, FL",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Venus Fashion,"Jacksonville, FL",501 to 1000 employees,Company - Private,"Department, Clothing, & Shoe Stores",Retail
ARC Group,"Burbank, CA",51 to 200 employees,Company - Private,Investment Banking & Asset Management,Finance
American Recruiting and Consulting Group,"Fort Lauderdale, FL",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
"ACTS, Inc.","Fort Washington, PA",5001 to 10000 employees,Nonprofit Organization,Social Assistance,Non-Profit
Bio-Rad,"Hercules, CA",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Bell Helicopter,"Fort Worth, TX",5001 to 10000 employees,Subsidiary or Business Segment,Aerospace & Defense,Aerospace & Defense
Textron,"Providence, RI",10000+ employees,Company - Public,Aerospace & Defense,Aerospace & Defense
North Central Texas Council of Governments,"Arlington, TX",201 to 500 employees,Nonprofit Organization,Membership Organizations,Business Services
United Software Group,"Dublin, OH",201 to 500 employees,Company - Private,IT Services,Information Technology
Thinkfind Corporation,"Richardson, TX",1 to 50 employees,Company - Private,IT Services,Information Technology
Tenaska,"Omaha, NE",501 to 1000 employees,Company - Private,Energy,"Oil, Gas, Energy & Utilities"
"Amvotech Solutions, Inc","Irving, TX",51 to 200 employees,Company - Private,IT Services,Information Technology
Ho Chunk,"Winnebago, NE",201 to 500 employees,Company - Private,Convenience Stores & Truck Stops,"Restaurants, Bars & Food Services"
Fidelity TalentSource,"Boston, MA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
Company Confidenital,"Tulsa, OK",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services
Mindteck,"Bengaluru, India",1001 to 5000 employees,Company - Public,IT Services,Information Technology
NT Concepts,"Vienna, VA",501 to 1000 employees,Company - Private,IT Services,Information Technology
FHLB of Dallas,"Irving, TX",201 to 500 employees,Company - Private,Banks & Credit Unions,Finance
JPS Health Network,"Fort Worth, TX",5001 to 10000 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
"Quadrant, Inc.","Reston, VA",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services
L&T Infotech,"Mumbai, India",10000+ employees,Company - Public,IT Services,Information Technology
Mosaic Sales Solutions,"Irving, TX",5001 to 10000 employees,Company - Private,Advertising & Marketing,Business Services
"Global Technical Talent, LLC","Portsmouth, NH",501 to 1000 employees,Company - Private,IT Services,Information Technology
Ace Cash Express,"Irving, TX",1001 to 5000 employees,Company - Private,Lending,Finance
Charles Schwab Corporation,"San Francisco, CA",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
"Hilltop Holdings, Inc.","Dallas, TX",1001 to 5000 employees,Company - Public,Banks & Credit Unions,Finance
Lightbeam Health Solutions,"Irving, TX",51 to 200 employees,Company - Private,Health Care Services & Hospitals,Health Care
Incendia Partners,"Framingham, MA",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Populus Financial Group,"Irving, TX",1001 to 5000 employees,Company - Private,Lending,Finance
Terminal Contacts LLC,"Chennai, India",1 to 50 employees,Company - Private,IT Services,Information Technology
Upstart,"San Mateo, CA",201 to 500 employees,Company - Private,Lending,Finance
Battelle,"Columbus, OH",10000+ employees,Nonprofit Organization,Research & Development,Business Services
Root Insurance,"Columbus, OH",501 to 1000 employees,Company - Private,Insurance Carriers,Insurance
The Ohio State University Wexner Medical Center,"Columbus, OH",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
Seamless AI,"Columbus, OH",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Olive,"Columbus, OH",201 to 500 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
CAS,"Columbus, OH",1001 to 5000 employees,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology
DSW,"Columbus, OH",10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail
ROSEN USA,"Stans, Switzerland",201 to 500 employees,Company - Private,Oil & Gas Services,"Oil, Gas, Energy & Utilities"
Scotts Miracle-Gro,"Marysville, OH",5001 to 10000 employees,Company - Public,Consumer Products Manufacturing,Manufacturing
Immuta,"College Park, MD",51 to 200 employees,Company - Private,Computer Hardware & Software,Information Technology
The Ohio State University,"Columbus, OH",10000+ employees,College / University,Colleges & Universities,Education
Emerald Resource Group,"Broadview Heights, OH",1 to 50 employees,Company - Private,Staffing & Outsourcing,Business Services
Data Systems Integration Group Inc,"Dublin, OH",1 to 50 employees,Company - Private,Accounting,Accounting & Legal
Abercrombie & Fitch Co.,"New Albany, OH",10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail
Natural Resources Conservation Service,"Washington, DC",10000+ employees,Government,Federal Agencies,Government
DHL,"Bonn, Germany",10000+ employees,Company - Private,Logistics & Supply Chain,Transportation & Logistics
ASK Chemicals,"Hilden, Germany",1001 to 5000 employees,Company - Private,Consulting,Business Services
Beacon Hill Staffing Group,"Boston, MA",501 to 1000 employees,Company - Private,Staffing & Outsourcing,Business Services
Abercrombie and Fitch Co.,"New Albany, OH",10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail
Beam Dental,"Columbus, OH",51 to 200 employees,Company - Private,Insurance Carriers,Insurance
Hikma Pharmaceuticals USA Inc.,"London, United Kingdom",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Economic and Community Development Institute,"Columbus, OH",1 to 50 employees,Nonprofit Organization,Lending,Finance
Nationwide Children's Hospital,"Columbus, OH",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
UCB,"Brussel, Belgium",5001 to 10000 employees,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals
Tephra Inc.,"Helmetta, NJ",1 to 50 employees,Company - Private,Accounting,Accounting & Legal
Finite State,"Columbus, OH",1 to 50 employees,Company - Private,Security Services,Business Services
Buckeye Community Health Plan,"Columbus, OH",1001 to 5000 employees,Company - Public,Health Care Services & Hospitals,Health Care
UES,"Beavercreek, OH",201 to 500 employees,Company - Private,Research & Development,Business Services
State Auto Insurance Companies,"Columbus, OH",1001 to 5000 employees,Company - Public,Insurance Carriers,Insurance
Eliassen Group,"Reading, MA",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services
STATE OF OHIO,"Columbus, OH",10000+ employees,Government,State & Regional Agencies,Government
L Brands,"Columbus, OH",10000+ employees,Company - Public,"Department, Clothing, & Shoe Stores",Retail
Franklin University,"Columbus, OH",201 to 500 employees,College / University,Colleges & Universities,Education
JASStek Inc.,"Dublin, OH",1 to 50 employees,Company - Private,Computer Hardware & Software,Information Technology
Nationwide Childrens Hospital,"Columbus, OH",10000+ employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Deemsys Inc,"Gahanna, OH",51 to 200 employees,Company - Private,Self-Storage Services,Consumer Services
